20582 削 【文】siat 
20583 前 【替】tsûn 
20584 勁 kìng 
20585 勁 kīng 
20586 勃 pu̍t 
20587 勉 bián 
20588 厚 【文】hōo 
20589 叛 puān 
20591 咪 【替】bî 
20592 咫 tsí 
20593 咬 【文】ngáu 
20594 咯 lo̍k 
20595 咳 【替】ka 
20596 咳 【替】kha 
20597 咽 ian 
20598 咾 【替】ló 
20599 哈 hah 
20600 哉 【替】tsài 
20601 垂 【替】sê 
20602 垂 【白】suê 
20603 型 hîng 
20604 垢 káu 
20605 垣 uân 
20606 姚 【文】iâu 
20607 姚 【白】iô 
20608 姜 【文】kiong 
20609 姜 【文】khiong 
20610 姜 【白】khiunn 
20611 姜 【白】kiunn 
20612 姦 kan 
20613 姪 【文】tsit 
20614 姪 【白】ti̍t 
20615 姻 in 
20616 姼 tshit 
20617 姿 tsu 
20618 威 ui 
20619 娃 ua 
20620 客 【文】khik 
20621 宣 suan 
20622 宥 iū 
20623 宦 huān 
20624 屋 ok 
20625 屎 【文】sú 
20626 屏 【白】pîn 
20627 屏 【文】pîng 
20628 峇 【替】bâ 
20629 帥 suì 
20630 帥 suè 
20631 幽 iu 
20632 度 to̍k 
20633 建 kiàn 
20634 彥 gān 
20635 彥 giān 
20636 待 【白】tāi 
20637 後 【白】hāu 
20638 後 【文】hiō 
20639 後 【文】hōo 
20640 怎 tsuánn 
20641 怒 nōo 
20642 思 【白】si 
20643 思 sù 
20644 恂 sún 
20645 恆 hîng 
20646 恍 【文】hóng 
20647 恍 【白】huánn 
20648 恢 【俗】hue 
20649 恢 khue 
20650 恨 【白】hīn/hūn 
20651 扁 【文】pián 
20652 扁 【替】pún 
20653 括 kuat 
20654 拯 tsín 
20655 拱 kióng 
20656 拼 phing 
20657 拾 si̍p 
20658 持 【文】tshî 
20659 持 【白】tî 
20660 指 【替】tsíng 
20661 按 【替】án 
20662 挑 【文】thiau 
20663 挑 thiáu 
20664 既 kì 
20665 星 【白】san 
20666 映 【白】ìng 
20667 映 【文】iòng 
20668 昧 māi 
20669 昨 tsa 
20670 昨 tso̍h 
20671 昭 tsiau 
20672 昱 io̍k 
20673 枯 koo 
20674 枴 【白】kuáinn 
20675 架 【文】kà 
20676 枷 【文】ka 
20677 枸 kóo 
20678 柄 【文】pìng 
20679 柏 【白】peh 
20680 柏 【文】pik 
20681 某 bóo 
20682 柔 jiû/liû 
20683 查 【俗】tsa 
20684 查 【替】tsa 
20685 柩 kiū 
20686 柫 【替】put 
20687 柬 kán 
20688 柯 kho 
20689 柱 【文】tsū 
20690 柳 liú 
20691 柵 tshik 
20692 柵 【俗】sa 
20693 殃 iong 
20694 段 【文】tuān 
20695 洋 【文】iông 
20696 洛 lo̍k 
20697 津 【文】tsin 
20698 洪 【白】âng 
20699 洪 【文】hông 
20700 活 【文】hua̍t 
20701 炫 hiān 
20702 炳 píng 
20703 炸 【替】tsia̍h 
20704 牲 【白】senn/sinn 
20705 牲 【文】sing 
20706 狡 káu 
20707 玲 lîng 
20708 玲 【替】lin 
20709 玻 po 
20710 珊 suan 
20711 珍 【白】tsin 
20712 珍 【文】tin 
20713 甚 sīm 
20714 甭 bàng 
20715 界 【文】kài 
20716 界 【白】kè/kuè 
20717 疫 【白】ia̍h 
20718 疫 【文】i̍k 
20719 皇 hông 
20720 盈 îng 
20721 相 【白】siunn 
20722 盼 phàn 
20723 盾 tún 
20724 矜 【白】king 
20725 矜 【文】khim 
20726 砂 【文】se 
20727 砌 kih 
20728 砍 khám 
20729 砒 【替】phi 
20730 研 【文】gián 
20731 祈 kî 
20732 祉 tsí 
20733 禹 ú 
20734 秒 【文】biáu 
20735 穿 【文】tshuan 
20736 突 tu̍t 
20737 竿 kuann 
20738 紀 kí 
20739 紂 tiū 
20740 缸 【文】kong 
20741 耶 iâ 
20742 背 puè 
20743 胖 phàng 
20744 胛 kah 
20745 胞 pau 
20746 胡 【文】hôo 
20747 胡 【白】ôo 
20748 舢 sam 
20749 苑 uán 
20750 苒 jiâm/liâm 
20751 苓 lîng 
20752 苔 【文】thai 
20753 苔 【白】thî 
20754 苗 biâu 
20755 苛 kho 
20756 苞 pau 
20757 苟 kóo 
20758 若 【文】jio̍k/lio̍k 
20759 苦 【替】ku 
20760 苧 【白】tē/tuē 
20761 苧 【文】thú 
20762 英 ing 
20763 苳 tang 
20764 莓 【白】m̂ 
20765 茂 bōo 
20766 范 huān 
20767 茄 ka 
20768 茅 【白】hm̂ 
20769 茅 【文】mâu 
20770 茉 ba̍k 
20771 茉 bua̍h 
20772 虐 【白】gi̍k 
20773 虐 【白】gio̍h 
20774 虐 【文】gio̍k 
20775 虼 【替】ka 
20776 要 iau 
20777 要 iàu 
20778 訃 hù 
20779 計 【白】kì 
20780 貞 tsing 
20781 軌 kuí 
20782 迦 khia 
20783 迪 ti̍k 
20784 迭 tia̍t 
20785 述 su̍t 
20786 郁 hiok 
20787 郊 kau 
20788 郎 lang 
20789 郎 【白】nn̂g 
20790 酋 siû 
20791 陋 lōo 
20792 陌 bi̍k 
20793 韋 uî 
20794 韭 kú 
20795 飛 【替】hue 
20796 首 siú 
20797 香 【文】hiang 
20798 香 【文】hiong 
20799 乘 sîng 
20800 乘 sīng 
20801 俯 hú 
20802 俱 khū 
20803 俳 【替】pai 
20804 俳 pâi 
20805 俸 hōng 
20806 倆 lióng 
20807 倉 【文】tshong 
20808 倒 【替】tho̍h 
20809 倖 hīng 
20810 候 hāu 
20811 倚 【文】í 
20812 借 【文】tsià 
20813 倡 tshiong 
20814 倡 tshiòng 
20815 倦 kuān 
20816 倫 lûn 
20817 倭 e 
20818 冥 bîng 
20819 凊 【文】tshìng 
20820 凋 tiau 
20821 凌 lîng 
20822 剔 【文】thik 
20824 剖 phóo 
20825 剛 kong 
20826 剝 【文】pok 
20827 卿 khing 
20828 原 guân 
20829 員 【白】înn 
20830 哥 【替】koh 
20831 哨 【白】sàu 
20832 哨 【文】siàu 
20833 哩 【替】li 
20834 哩 【替】lí 
20835 哲 tiat 
20836 唆 so 
20837 唆 sō 
20838 唏 【替】hì 
20839 唐 【文】tông 
20840 唐 【白】tn̂g 
20841 埃 ai 
20842 埃 【替】ia 
20843 埆 【替】kak 
20844 埒 lua̍h 
20845 夏 【白】hē 
20846 娉 phing 
20847 娘 【文】liông 
20848 娛 gû 
20849 娛 ngôo 
20850 娜 ná 
20851 娟 kuan 
20852 娥 ngôo 
20853 娩 bián 
20854 宰 tsáinn 
20855 宴 iàn 
20856 宵 siau 
20857 屐 kia̍h 
20858 屑 sap 
20859 峰 hong 
20860 峻 tsùn 
20861 峽 kiap 
20862 差 tshai 
20863 庭 【白】tiânn 
20864 庭 【文】tîng 
20865 徐 tshî 
20866 徑 kìng 
20867 恐 khióng 
20868 恕 sù 
20869 息 【文】sik 
20870 息 【白】sit 
20871 悅 ua̍t 
20872 悅 ia̍t 
20873 悔 【文】hué 
20874 悔 【白】huí 
20875 悖 puē 
20876 悟 ngōo 
20877 扇 【文】siàn 
20878 拳 【文】kuân 
20879 拿 ná 
20880 挨 【文】ai 
20881 挫 tshò 
20882 振 【文】tsín 
20883 振 【白】tín 
20884 挹 【替】ip 
20885 挺 【文】thíng 
20886 捉 tshiok 
20887 捏 liap 
20888 捐 kuan 
20889 捔 【替】ka̍k 
20890 捕 póo 
20891 旁 pông 
20892 旅 【文】lú 
20893 晉 tsìn 
20894 晏 【文】àn 
20895 朔 sok 
20896 朗 【白】láng 
20897 朗 【文】lóng 
20898 栓 tshng 
20899 栗 【白】la̍t 
20900 栗 【文】li̍k 
20901 校 kàu 
20902 株 【文】tsu 
20903 株 【白】tu 
20904 栱 kóng 
20905 核 【白】ha̍t 
20906 核 【文】hi̍k 
20907 格 【文】kik 
20908 桀 kia̍t 
20909 桂 kuì 
20910 桃 【白】tô 
20911 桅 uî 
20912 案 【白】uànn 
20913 桐 【白】tâng 
20914 桐 【文】tông 
20915 桑 【白】sng 
20916 桑 【文】song 
20917 桑 【替】sáng 
20918 殉 sûn 
20919 殊 sû 
20920 殷 【白】in 
20921 殷 【文】ûn 
20922 氧 ióng 
20923 泰 thài 
20924 浙 tsiat 
20925 浡 【替】phu̍h 
20926 浦 phóo 
20927 浩 hō 
20928 浪 lōng 
20929 浮 【文】hû 
20930 浴 【白】i̍k 
20931 浴 【文】io̍k 
20932 涂 【文】tôo 
20933 涂 【白】thôo 
20934 涉 sia̍p 
20935 涗 【替】suè/sè 
20936 烏 【替】u 
20937 烘 【文】hong 
20938 烙 【替】lō 
20939 烙 lo̍k 
20940 特 ti̍k 
20941 狸 lî 
20942 狹 【文】hia̍p 
20943 狽 puē 
20944 珮 puè 
20945 琉 liû 
20946 畔 puān 
20947 畚 pùn 
